min-confidence,min-support,min-similarity,max-lhs,#commits,#added-methods,#commits-with-recommendations,#commits-with-correct-recommendations,#instances-with-recommendations,#instances-with-correct-recommendations,recall,precision,coverage
0.5,8e-06,0.9,1,69480,219331,8757,4878,14642,7383,0.1260362694300518,0.5042343942084415,0.033661452325480665
0.65,8e-06,0.9,1,69480,219331,6447,4167,9996,6183,0.09278929188255614,0.618547418967587,0.02819026950134728
0.8,8e-06,0.9,2,69480,219331,4116,3110,7170,5149,0.05924006908462867,0.7181311018131101,0.023475933634552342
